/home/jm/.local/lib/python3.10/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/jm/.local/lib/python3.10/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=float32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/jm/.local/lib/python3.10/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/jm/.local/lib/python3.10/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=float32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/jm/.local/lib/python3.10/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/jm/.local/lib/python3.10/site-packages/jax/_src/ops/scatter.py:96: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=float32 to dtype=bool with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
global step=9924, episodic return=3.0
global step=10008, episodic return=7.0
global step=10024, episodic return=7.0
global step=10104, episodic return=14.0
global step=10108, episodic return=6.0
global step=10216, episodic return=6.0
global step=10236, episodic return=8.0
global step=10292, episodic return=6.0
global step=10328, episodic return=9.0
global step=10364, episodic return=7.0
global step=10388, episodic return=5.0
global step=10432, episodic return=2.0
global step=10504, episodic return=2.0
global step=10576, episodic return=3.0
global step=10596, episodic return=10.0
global step=10612, episodic return=3.0
global step=10664, episodic return=2.0
global step=10724, episodic return=9.0
global step=10736, episodic return=6.0
global step=10768, episodic return=6.0
global step=10816, episodic return=6.0
global step=10836, episodic return=2.0
global step=10836, episodic return=3.0
global step=10888, episodic return=5.0
global step=10992, episodic return=6.0
global step=11000, episodic return=6.0
global step=11032, episodic return=7.0
global step=11040, episodic return=7.0
global step=11108, episodic return=2.0
global step=11140, episodic return=4.0
global step=11192, episodic return=7.0
global step=11248, episodic return=4.0
global step=11264, episodic return=5.0
global step=11336, episodic return=2.0
global step=11360, episodic return=4.0
global step=11384, episodic return=7.0
global step=11448, episodic return=4.0
global step=11468, episodic return=3.0
global step=11544, episodic return=6.0
global step=11636, episodic return=6.0
global step=11692, episodic return=7.0
global step=11700, episodic return=10.0
global step=11732, episodic return=11.0
global step=11768, episodic return=3.0
global step=11908, episodic return=11.0
global step=11916, episodic return=5.0
global step=11924, episodic return=8.0
global step=11992, episodic return=9.0
global step=12016, episodic return=3.0
global step=12108, episodic return=8.0
global step=12120, episodic return=8.0
global step=12124, episodic return=4.0
global step=12144, episodic return=5.0
global step=12216, episodic return=5.0
global step=12228, episodic return=4.0
global step=12352, episodic return=8.0
global step=12464, episodic return=4.0
global step=12496, episodic return=10.0
global step=12532, episodic return=11.0
global step=12604, episodic return=2.0
global step=12652, episodic return=9.0
global step=12696, episodic return=8.0
global step=12720, episodic return=6.0
global step=12760, episodic return=2.0
global step=12840, episodic return=8.0
global step=12904, episodic return=4.0
global step=12916, episodic return=6.0
global step=12928, episodic return=7.0
global step=12952, episodic return=4.0
global step=13020, episodic return=2.0
global step=13036, episodic return=4.0
global step=13132, episodic return=8.0
global step=13184, episodic return=3.0
global step=13204, episodic return=7.0
global step=13260, episodic return=8.0
global step=13352, episodic return=6.0
global step=13360, episodic return=7.0
global step=13408, episodic return=5.0
global step=13508, episodic return=6.0
global step=13564, episodic return=8.0
global step=13656, episodic return=7.0
global step=13764, episodic return=3.0
global step=13832, episodic return=8.0
global step=13948, episodic return=11.0
global step=13984, episodic return=6.0
global step=13996, episodic return=17.0
global step=14064, episodic return=2.0
global step=14172, episodic return=7.0
global step=14232, episodic return=13.0
global step=14256, episodic return=7.0
global step=14304, episodic return=13.0
global step=14320, episodic return=6.0
global step=14340, episodic return=4.0
global step=14456, episodic return=6.0
global step=14496, episodic return=4.0
global step=14572, episodic return=12.0
global step=14604, episodic return=6.0
global step=14652, episodic return=6.0
global step=14672, episodic return=11.0
global step=14672, episodic return=3.0
global step=14720, episodic return=6.0
global step=14720, episodic return=2.0
global step=14788, episodic return=2.0
global step=14828, episodic return=3.0
global step=14828, episodic return=5.0
global step=14832, episodic return=5.0
global step=14856, episodic return=2.0
global step=14896, episodic return=3.0
global step=14964, episodic return=2.0
global step=14976, episodic return=6.0
global step=14988, episodic return=6.0
global step=15008, episodic return=6.0
global step=15076, episodic return=2.0
global step=15112, episodic return=5.0
global step=15124, episodic return=6.0
global step=15144, episodic return=6.0
global step=15180, episodic return=3.0
global step=15184, episodic return=3.0
global step=15192, episodic return=2.0
global step=15248, episodic return=3.0
global step=15336, episodic return=6.0
global step=15352, episodic return=7.0
global step=15412, episodic return=7.0
global step=15424, episodic return=3.0
global step=15432, episodic return=7.0
global step=15480, episodic return=2.0
global step=15552, episodic return=5.0
global step=15576, episodic return=6.0
global step=15592, episodic return=4.0
global step=15620, episodic return=2.0
global step=15664, episodic return=3.0
global step=15724, episodic return=10.0
global step=15800, episodic return=9.0
global step=15808, episodic return=6.0
global step=15832, episodic return=3.0
global step=15852, episodic return=8.0
global step=15912, episodic return=4.0
global step=15916, episodic return=4.0
global step=15960, episodic return=4.0
global step=15988, episodic return=3.0
global step=16028, episodic return=3.0
global step=16096, episodic return=2.0
global step=16164, episodic return=3.0
global step=16188, episodic return=9.0
global step=16252, episodic return=9.0
global step=16364, episodic return=4.0
global step=16376, episodic return=16.0
global step=16432, episodic return=3.0
global step=16432, episodic return=9.0
global step=16524, episodic return=5.0
global step=16592, episodic return=2.0
global step=16620, episodic return=11.0
global step=16660, episodic return=3.0
global step=16660, episodic return=8.0
global step=16664, episodic return=8.0
global step=16732, episodic return=2.0
global step=16768, episodic return=3.0
global step=16812, episodic return=4.0
global step=16892, episodic return=9.0
global step=16916, episodic return=5.0
global step=16960, episodic return=9.0
global step=17044, episodic return=5.0
global step=17108, episodic return=7.0
global step=17112, episodic return=2.0
global step=17224, episodic return=4.0
global step=17244, episodic return=17.0
global step=17332, episodic return=9.0
global step=17340, episodic return=13.0
global step=17444, episodic return=4.0
global step=17448, episodic return=3.0
global step=17512, episodic return=3.0
global step=17568, episodic return=11.0
global step=17596, episodic return=7.0
global step=17600, episodic return=6.0
global step=17712, episodic return=3.0
global step=17744, episodic return=5.0
global step=17776, episodic return=10.0
global step=17824, episodic return=4.0
global step=17892, episodic return=5.0
global step=17932, episodic return=4.0
global step=18016, episodic return=5.0
global step=18032, episodic return=11.0
global step=18040, episodic return=5.0
global step=18084, episodic return=5.0
global step=18188, episodic return=5.0
global step=18296, episodic return=3.0
global step=18356, episodic return=9.0
global step=18404, episodic return=3.0
global step=18464, episodic return=4.0
global step=18484, episodic return=11.0
global step=18516, episodic return=3.0
global step=18540, episodic return=15.0
global step=18572, episodic return=4.0
global step=18640, episodic return=3.0
global step=18648, episodic return=4.0
global step=18664, episodic return=4.0
global step=18668, episodic return=7.0
global step=18716, episodic return=2.0
global step=18772, episodic return=3.0
global step=18776, episodic return=3.0
global step=18832, episodic return=7.0
global step=18880, episodic return=4.0
global step=18900, episodic return=2.0
global step=18964, episodic return=6.0
global step=19028, episodic return=9.0
global step=19032, episodic return=2.0
global step=19056, episodic return=6.0
global step=19068, episodic return=5.0
global step=19136, episodic return=2.0
global step=19140, episodic return=3.0
global step=19164, episodic return=3.0
global step=19180, episodic return=5.0
global step=19252, episodic return=3.0
global step=19324, episodic return=5.0
global step=19364, episodic return=3.0
global step=19376, episodic return=8.0
global step=19428, episodic return=9.0
global step=19472, episodic return=4.0
global step=19536, episodic return=4.0
global step=19644, episodic return=3.0
global step=19744, episodic return=13.0
global step=19812, episodic return=3.0
global step=19832, episodic return=6.0
global step=19900, episodic return=2.0
global step=19940, episodic return=12.0
global step=19968, episodic return=4.0
global step=19972, episodic return=3.0
global step=20004, episodic return=15.0
global step=20084, episodic return=5.0
global step=20116, episodic return=5.0
global step=20164, episodic return=7.0
global step=20184, episodic return=3.0
global step=20232, episodic return=6.0
global step=20292, episodic return=4.0
global step=20324, episodic return=7.0
global step=20380, episodic return=5.0
global step=20448, episodic return=2.0
global step=20512, episodic return=8.0
global step=20556, episodic return=9.0
global step=20620, episodic return=4.0
global step=20672, episodic return=9.0
global step=20692, episodic return=3.0
global step=20704, episodic return=17.0
global step=20704, episodic return=5.0
global step=20780, episodic return=2.0
global step=20812, episodic return=3.0
global step=20844, episodic return=6.0
global step=20856, episodic return=6.0
global step=20924, episodic return=3.0
global step=20928, episodic return=5.0
global step=21036, episodic return=4.0
global step=21080, episodic return=6.0
global step=21152, episodic return=9.0
global step=21184, episodic return=6.0
global step=21228, episodic return=7.0
global step=21340, episodic return=5.0
global step=21344, episodic return=8.0
global step=21412, episodic return=3.0
global step=21416, episodic return=6.0
global step=21428, episodic return=12.0
global step=21492, episodic return=6.0
global step=21644, episodic return=10.0
global step=21664, episodic return=9.0
global step=21732, episodic return=2.0
global step=21832, episodic return=7.0
global step=21884, episodic return=6.0
global step=21920, episodic return=11.0
global step=21984, episodic return=5.0
global step=21988, episodic return=2.0
global step=21996, episodic return=10.0
global step=22076, episodic return=8.0
global step=22140, episodic return=6.0
global step=22144, episodic return=5.0
global step=22228, episodic return=6.0
global step=22292, episodic return=7.0
global step=22364, episodic return=3.0
global step=22432, episodic return=2.0
global step=22488, episodic return=14.0
global step=22504, episodic return=11.0
global step=22568, episodic return=21.0
global step=22596, episodic return=4.0
global step=22612, episodic return=4.0
global step=22680, episodic return=4.0
global step=22780, episodic return=8.0
global step=22800, episodic return=7.0
global step=22908, episodic return=4.0
global step=22912, episodic return=10.0
global step=23016, episodic return=15.0
global step=23068, episodic return=6.0
global step=23096, episodic return=10.0
global step=23164, episodic return=2.0
global step=23164, episodic return=6.0
global step=23172, episodic return=4.0
global step=23232, episodic return=2.0
global step=23244, episodic return=2.0
global step=23340, episodic return=4.0
global step=23356, episodic return=7.0
global step=23396, episodic return=7.0
global step=23448, episodic return=4.0
global step=23504, episodic return=6.0
global step=23520, episodic return=2.0
global step=23572, episodic return=2.0
global step=23572, episodic return=15.0
global step=23640, episodic return=3.0
global step=23640, episodic return=3.0
global step=23700, episodic return=12.0
global step=23704, episodic return=9.0
global step=23708, episodic return=2.0
global step=23748, episodic return=4.0
global step=23772, episodic return=2.0
global step=23776, episodic return=3.0
global step=23852, episodic return=6.0
global step=23928, episodic return=6.0
global step=23956, episodic return=8.0
global step=23996, episodic return=3.0
global step=24036, episodic return=8.0
global step=24100, episodic return=14.0
global step=24104, episodic return=3.0
global step=24152, episodic return=7.0
global step=24268, episodic return=5.0
global step=24328, episodic return=8.0
global step=24332, episodic return=8.0
global step=24336, episodic return=2.0
global step=24340, episodic return=10.0
global step=24400, episodic return=3.0
global step=24408, episodic return=2.0
global step=24468, episodic return=2.0
global step=24476, episodic return=3.0
global step=24524, episodic return=8.0
global step=24592, episodic return=2.0
global step=24624, episodic return=6.0
global step=24644, episodic return=11.0
global step=24692, episodic return=3.0
global step=24744, episodic return=6.0
global step=24772, episodic return=13.0
global step=24804, episodic return=7.0
global step=24812, episodic return=3.0
global step=24844, episodic return=6.0
global step=24964, episodic return=6.0
global step=24996, episodic return=7.0
global step=25004, episodic return=9.0
global step=25064, episodic return=2.0
global step=25188, episodic return=8.0
global step=25212, episodic return=6.0
global step=25228, episodic return=13.0
global step=25232, episodic return=9.0
global step=25280, episodic return=2.0
global step=25340, episodic return=6.0
global step=25380, episodic return=7.0
global step=25448, episodic return=3.0
global step=25460, episodic return=10.0
global step=25584, episodic return=12.0
global step=25608, episodic return=7.0
global step=25676, episodic return=2.0
global step=25716, episodic return=10.0
global step=25744, episodic return=6.0
global step=25824, episodic return=4.0
global step=25832, episodic return=6.0
global step=25852, episodic return=16.0
global step=25852, episodic return=5.0
global step=25960, episodic return=4.0
global step=25976, episodic return=6.0
global step=25988, episodic return=6.0
global step=26124, episodic return=6.0
global step=26144, episodic return=8.0
global step=26172, episodic return=5.0
global step=26292, episodic return=6.0
global step=26324, episodic return=6.0
global step=26348, episodic return=8.0
global step=26360, episodic return=3.0
global step=26468, episodic return=15.0
global step=26472, episodic return=3.0
global step=26480, episodic return=6.0
global step=26624, episodic return=6.0
global step=26628, episodic return=6.0
global step=26628, episodic return=6.0
global step=26692, episodic return=2.0
global step=26696, episodic return=3.0
global step=26764, episodic return=2.0
global step=26784, episodic return=5.0
global step=26812, episodic return=8.0
global step=26852, episodic return=3.0
global step=26880, episodic return=6.0
global step=26916, episodic return=7.0
global step=26920, episodic return=2.0
global step=26920, episodic return=4.0
global step=26992, episodic return=2.0
global step=27032, episodic return=3.0
global step=27072, episodic return=5.0
global step=27080, episodic return=5.0
global step=27180, episodic return=8.0
global step=27180, episodic return=5.0
global step=27228, episodic return=4.0
global step=27248, episodic return=2.0
global step=27368, episodic return=6.0
global step=27460, episodic return=7.0
global step=27588, episodic return=15.0
global step=27644, episodic return=4.0
global step=27668, episodic return=14.0
global step=27696, episodic return=2.0
global step=27712, episodic return=3.0
global step=27820, episodic return=5.0
global step=27852, episodic return=6.0
global step=27916, episodic return=12.0
global step=27936, episodic return=8.0
global step=27964, episodic return=5.0
global step=28004, episodic return=7.0
global step=28068, episodic return=7.0
global step=28120, episodic return=6.0
global step=28128, episodic return=7.0
global step=28156, episodic return=4.0
global step=28268, episodic return=4.0
global step=28272, episodic return=5.0
global step=28360, episodic return=9.0
global step=28372, episodic return=11.0
global step=28420, episodic return=5.0
global step=28468, episodic return=2.0
global step=28484, episodic return=4.0
global step=28496, episodic return=7.0
global step=28576, episodic return=5.0
global step=28652, episodic return=6.0
global step=28668, episodic return=7.0
global step=28696, episodic return=8.0
global step=28824, episodic return=6.0
global step=28844, episodic return=7.0
global step=28896, episodic return=2.0
global step=28924, episodic return=9.0
global step=29004, episodic return=6.0
global step=29008, episodic return=4.0
global step=29080, episodic return=7.0
global step=29116, episodic return=4.0
global step=29228, episodic return=4.0
global step=29232, episodic return=6.0
global step=29296, episodic return=2.0
global step=29344, episodic return=4.0
global step=29348, episodic return=12.0
global step=29456, episodic return=3.0
global step=29456, episodic return=4.0
global step=29480, episodic return=8.0
global step=29512, episodic return=16.0
global step=29584, episodic return=3.0
global step=29636, episodic return=6.0
global step=29640, episodic return=6.0
global step=29696, episodic return=5.0
global step=29704, episodic return=2.0
global step=29752, episodic return=5.0
global step=29812, episodic return=3.0
global step=29864, episodic return=5.0
global step=29880, episodic return=2.0
global step=29932, episodic return=2.0
global step=29964, episodic return=9.0
global step=30088, episodic return=6.0
global step=30148, episodic return=12.0
global step=30268, episodic return=11.0
global step=30280, episodic return=25.0
global step=30436, episodic return=5.0
global step=30456, episodic return=11.0
global step=30456, episodic return=8.0
global step=30592, episodic return=6.0
global step=30600, episodic return=14.0
global step=30604, episodic return=5.0
global step=30704, episodic return=5.0
global step=30804, episodic return=11.0
global step=30872, episodic return=2.0
global step=30908, episodic return=7.0
global step=30984, episodic return=12.0
global step=31088, episodic return=10.0
global step=31100, episodic return=9.0
global step=31136, episodic return=6.0
global step=31172, episodic return=7.0
global step=31196, episodic return=4.0
global step=31288, episodic return=6.0
global step=31312, episodic return=4.0
global step=31436, episodic return=8.0
global step=31440, episodic return=6.0
global step=31460, episodic return=5.0
global step=31532, episodic return=17.0
global step=31552, episodic return=5.0
global step=31588, episodic return=6.0
global step=31612, episodic return=7.0
global step=31736, episodic return=5.0
global step=31800, episodic return=7.0
global step=31856, episodic return=9.0
global step=31876, episodic return=12.0
global step=31884, episodic return=7.0
global step=31924, episodic return=3.0
global step=31952, episodic return=3.0
global step=31984, episodic return=8.0
global step=32028, episodic return=6.0
global step=32172, episodic return=8.0
global step=32228, episodic return=13.0
global step=32240, episodic return=3.0
global step=32264, episodic return=12.0
global step=32340, episodic return=13.0
global step=32380, episodic return=5.0
global step=32416, episodic return=7.0
global step=32448, episodic return=3.0
global step=32468, episodic return=10.0
global step=32528, episodic return=5.0
global step=32536, episodic return=2.0
global step=32568, episodic return=6.0
global step=32688, episodic return=4.0
global step=32716, episodic return=5.0
global step=32720, episodic return=6.0
global step=32784, episodic return=2.0
global step=32840, episodic return=5.0
global step=32872, episodic return=13.0
global step=32984, episodic return=11.0
global step=32992, episodic return=4.0
global step=33032, episodic return=7.0
global step=33136, episodic return=5.0
global step=33168, episodic return=13.0
global step=33188, episodic return=6.0
global step=33204, episodic return=3.0
global step=33256, episodic return=11.0
global step=33324, episodic return=2.0
global step=33324, episodic return=7.0
global step=33356, episodic return=5.0
global step=33436, episodic return=5.0
global step=33504, episodic return=3.0
global step=33508, episodic return=6.0
global step=33576, episodic return=16.0
global step=33632, episodic return=11.0
global step=33660, episodic return=7.0
global step=33784, episodic return=10.0
global step=33852, episodic return=3.0
global step=33884, episodic return=7.0
global step=33936, episodic return=10.0
global step=33956, episodic return=15.0
global step=33996, episodic return=3.0
global step=34008, episodic return=5.0
global step=34116, episodic return=4.0
global step=34144, episodic return=6.0
global step=34224, episodic return=9.0
global step=34224, episodic return=3.0
global step=34252, episodic return=4.0
global step=34284, episodic return=9.0
global step=34396, episodic return=4.0
global step=34568, episodic return=13.0
global step=34580, episodic return=10.0
global step=34620, episodic return=10.0
global step=34728, episodic return=5.0
global step=34732, episodic return=7.0
global step=34884, episodic return=6.0
global step=34920, episodic return=15.0
global step=35068, episodic return=7.0
global step=35080, episodic return=10.0
global step=35148, episodic return=2.0
global step=35176, episodic return=5.0
global step=35232, episodic return=19.0
global step=35236, episodic return=11.0
global step=35300, episodic return=2.0
global step=35308, episodic return=5.0
global step=35328, episodic return=6.0
global step=35396, episodic return=3.0
global step=35424, episodic return=7.0
global step=35508, episodic return=4.0
global step=35572, episodic return=6.0
global step=35612, episodic return=7.0
global step=35640, episodic return=2.0
global step=35652, episodic return=11.0
global step=35656, episodic return=6.0
global step=35680, episodic return=2.0
global step=35764, episodic return=4.0
global step=35832, episodic return=3.0
global step=35988, episodic return=11.0
global step=36036, episodic return=10.0
global step=36096, episodic return=10.0
global step=36144, episodic return=6.0
