global step=184392, episodic return=-158.0
global step=184580, episodic return=-144.0
global step=184628, episodic return=-158.0
global step=184708, episodic return=-106.0
global step=184828, episodic return=-108.0
global step=185124, episodic return=-135.0
global step=185196, episodic return=-141.0
global step=185244, episodic return=-133.0
global step=185328, episodic return=-124.0
global step=185588, episodic return=-115.0
global step=185696, episodic return=-124.0
global step=185708, episodic return=-115.0
global step=185760, episodic return=-107.0
global step=186084, episodic return=-123.0
global step=186168, episodic return=-117.0
global step=186232, episodic return=-117.0
global step=186288, episodic return=-144.0
global step=186564, episodic return=-98.0
global step=186612, episodic return=-131.0
global step=186680, episodic return=-97.0
global step=186720, episodic return=-121.0
global step=187032, episodic return=-104.0
global step=187072, episodic return=-97.0
global step=187072, episodic return=-126.0
global step=187184, episodic return=-115.0
global step=187484, episodic return=-112.0
global step=187520, episodic return=-111.0
global step=187580, episodic return=-126.0
global step=187612, episodic return=-106.0
global step=187868, episodic return=-95.0
global step=188024, episodic return=-110.0
global step=188052, episodic return=-109.0
global step=188188, episodic return=-166.0
global step=188232, episodic return=-90.0
global step=188428, episodic return=-93.0
global step=188588, episodic return=-88.0
global step=188608, episodic return=-145.0
global step=188612, episodic return=-105.0
global step=189028, episodic return=-109.0
global step=189040, episodic return=-152.0
global step=189068, episodic return=-114.0
global step=189104, episodic return=-122.0
global step=189484, episodic return=-110.0
global step=189488, episodic return=-104.0
global step=189516, episodic return=-121.0
global step=189568, episodic return=-115.0
global step=189812, episodic return=-81.0
global step=189940, episodic return=-105.0
global step=189956, episodic return=-116.0
global step=190016, episodic return=-111.0
global step=190280, episodic return=-116.0
global step=190348, episodic return=-97.0
global step=190408, episodic return=-116.0
global step=190540, episodic return=-130.0
global step=190672, episodic return=-97.0
global step=190776, episodic return=-106.0
global step=190952, episodic return=-135.0
global step=190976, episodic return=-108.0
global step=191064, episodic return=-97.0
global step=191264, episodic return=-121.0
global step=191388, episodic return=-108.0
global step=191492, episodic return=-106.0
global step=191668, episodic return=-100.0
global step=191696, episodic return=-179.0
global step=191952, episodic return=-140.0
global step=191960, episodic return=-116.0
global step=192084, episodic return=-103.0
global step=192196, episodic return=-124.0
global step=192332, episodic return=-94.0
global step=192412, episodic return=-112.0
global step=192560, episodic return=-118.0
global step=192664, episodic return=-116.0
global step=192796, episodic return=-115.0
global step=192836, episodic return=-105.0
global step=192916, episodic return=-88.0
global step=193036, episodic return=-92.0
global step=193216, episodic return=-104.0
global step=193324, episodic return=-121.0
global step=193368, episodic return=-82.0
global step=193484, episodic return=-141.0
global step=193624, episodic return=-101.0
global step=193804, episodic return=-119.0
global step=193804, episodic return=-108.0
global step=193960, episodic return=-118.0
global step=194084, episodic return=-114.0
global step=194160, episodic return=-88.0
global step=194264, episodic return=-114.0
global step=194340, episodic return=-94.0
global step=194508, episodic return=-86.0
global step=194536, episodic return=-112.0
global step=194736, episodic return=-117.0
global step=194848, episodic return=-126.0
global step=194900, episodic return=-90.0
global step=194932, episodic return=-105.0
global step=195176, episodic return=-109.0
global step=195264, episodic return=-90.0
global step=195352, episodic return=-125.0
global step=195468, episodic return=-133.0
global step=195468, episodic return=-72.0
global step=195660, episodic return=-98.0
global step=195764, episodic return=-102.0
global step=195828, episodic return=-89.0
global step=195980, episodic return=-127.0
global step=196052, episodic return=-97.0
global step=196116, episodic return=-87.0
global step=196264, episodic return=-108.0
global step=196356, episodic return=-93.0
global step=196560, episodic return=-126.0
global step=196564, episodic return=-111.0
global step=196712, episodic return=-88.0
global step=196720, episodic return=-113.0
global step=196992, episodic return=-107.0
global step=197036, episodic return=-117.0
global step=197072, episodic return=-87.0
global step=197176, episodic return=-115.0
global step=197356, episodic return=-90.0
global step=197436, episodic return=-99.0
global step=197524, episodic return=-112.0
global step=197556, episodic return=-94.0
global step=197708, episodic return=-87.0
global step=197768, episodic return=-82.0
global step=197892, episodic return=-91.0
global step=198036, episodic return=-119.0
global step=198080, episodic return=-92.0
global step=198252, episodic return=-120.0
global step=198316, episodic return=-105.0
global step=198380, episodic return=-85.0
global step=198588, episodic return=-83.0
global step=198668, episodic return=-146.0
global step=198756, episodic return=-93.0
global step=198760, episodic return=-110.0
global step=198992, episodic return=-80.0
global step=199064, episodic return=-118.0
global step=199180, episodic return=-104.0
global step=199396, episodic return=-100.0
global step=199520, episodic return=-190.0
global step=199604, episodic return=-105.0
global step=199684, episodic return=-154.0
global step=199768, episodic return=-92.0
global step=199956, episodic return=-108.0
global step=200048, episodic return=-110.0
global step=200084, episodic return=-99.0
global step=200204, episodic return=-108.0
global step=200328, episodic return=-92.0
global step=200472, episodic return=-105.0
global step=200540, episodic return=-83.0
global step=200544, episodic return=-114.0
global step=200852, episodic return=-130.0
global step=200876, episodic return=-100.0
global step=200876, episodic return=-83.0
global step=200932, episodic return=-96.0
global step=201304, episodic return=-92.0
global step=201312, episodic return=-108.0
global step=201316, episodic return=-115.0
global step=201332, episodic return=-113.0
global step=201640, episodic return=-80.0
global step=201716, episodic return=-95.0
global step=201760, episodic return=-111.0
global step=201976, episodic return=-167.0
global step=202124, episodic return=-120.0
global step=202136, episodic return=-104.0
global step=202264, episodic return=-125.0
global step=202356, episodic return=-94.0
global step=202524, episodic return=-99.0
global step=202608, episodic return=-85.0
global step=202636, episodic return=-124.0
global step=202860, episodic return=-125.0
global step=202968, episodic return=-110.0
global step=203096, episodic return=-114.0
global step=203108, episodic return=-124.0
global step=203212, episodic return=-87.0
global step=203396, episodic return=-106.0
global step=203492, episodic return=-98.0
global step=203536, episodic return=-106.0
global step=203708, episodic return=-77.0
global step=203808, episodic return=-148.0
global step=203832, episodic return=-84.0
global step=203872, episodic return=-83.0
global step=204144, episodic return=-108.0
global step=204236, episodic return=-100.0
global step=204264, episodic return=-113.0
global step=204320, episodic return=-111.0
global step=204604, episodic return=-91.0
global step=204672, episodic return=-87.0
global step=204704, episodic return=-109.0
global step=204916, episodic return=-77.0
global step=205012, episodic return=-76.0
global step=205136, episodic return=-115.0
global step=205284, episodic return=-91.0
global step=205284, episodic return=-284.0
global step=205332, episodic return=-79.0
global step=205664, episodic return=-131.0
global step=205704, episodic return=-92.0
global step=205724, episodic return=-109.0
global step=205792, episodic return=-126.0
global step=206028, episodic return=-90.0
global step=206108, episodic return=-95.0
global step=206128, episodic return=-105.0
global step=206172, episodic return=-94.0
global step=206344, episodic return=-78.0
global step=206524, episodic return=-87.0
global step=206528, episodic return=-99.0
global step=206700, episodic return=-147.0
global step=206708, episodic return=-90.0
global step=206924, episodic return=-98.0
global step=207044, episodic return=-83.0
global step=207168, episodic return=-160.0
global step=207324, episodic return=-99.0
global step=207408, episodic return=-90.0
global step=207516, episodic return=-203.0
global step=207652, episodic return=-81.0
global step=207652, episodic return=-120.0
global step=207664, episodic return=-63.0
global step=207900, episodic return=-95.0
global step=208044, episodic return=-97.0
global step=208068, episodic return=-100.0
global step=208116, episodic return=-115.0
global step=208308, episodic return=-101.0
global step=208420, episodic return=-93.0
global step=208500, episodic return=-95.0
global step=208520, episodic return=-112.0
global step=208780, episodic return=-117.0
global step=208788, episodic return=-91.0
global step=208860, episodic return=-89.0
global step=208996, episodic return=-118.0
global step=209108, episodic return=-81.0
global step=209216, episodic return=-88.0
global step=209420, episodic return=-105.0
global step=209444, episodic return=-163.0
global step=209468, episodic return=-89.0
global step=209552, episodic return=-83.0
global step=209740, episodic return=-79.0
global step=209848, episodic return=-100.0
global step=209900, episodic return=-86.0
global step=209960, episodic return=-122.0
global step=210084, episodic return=-85.0
global step=210208, episodic return=-89.0
global step=210240, episodic return=-84.0
global step=210296, episodic return=-83.0
global step=210468, episodic return=-95.0
global step=210604, episodic return=-98.0
global step=210612, episodic return=-92.0
global step=210656, episodic return=-89.0
global step=210884, episodic return=-103.0
global step=210980, episodic return=-93.0
global step=211000, episodic return=-85.0
global step=211016, episodic return=-100.0
global step=211292, episodic return=-101.0
global step=211312, episodic return=-77.0
global step=211336, episodic return=-88.0
