global step=19700, episodic return=311.0
global step=19896, episodic return=107.0
global step=19896, episodic return=234.0
global step=20092, episodic return=98.0
global step=20300, episodic return=177.0
global step=20380, episodic return=121.0
global step=20420, episodic return=131.0
global step=20588, episodic return=72.0
global step=20724, episodic return=158.0
global step=21160, episodic return=143.0
global step=21160, episodic return=185.0
global step=21172, episodic return=198.0
global step=21628, episodic return=117.0
global step=21828, episodic return=164.0
global step=22224, episodic return=375.0
global step=22404, episodic return=194.0
global step=22520, episodic return=173.0
global step=22976, episodic return=114.0
global step=23060, episodic return=164.0
global step=23160, episodic return=500.0
global step=23576, episodic return=338.0
global step=23868, episodic return=202.0
global step=24232, episodic return=314.0
global step=24456, episodic return=220.0
global step=24564, episodic return=174.0
global step=24664, episodic return=376.0
global step=24860, episodic return=101.0
global step=25052, episodic return=122.0
global step=25300, episodic return=267.0
global step=25556, episodic return=174.0
global step=25728, episodic return=266.0
global step=25848, episodic return=30.0
global step=26048, episodic return=249.0
global step=26376, episodic return=269.0
global step=26580, episodic return=256.0
global step=26944, episodic return=224.0
global step=26972, episodic return=149.0
global step=27316, episodic return=86.0
global step=27548, episodic return=151.0
global step=27720, episodic return=285.0
global step=27848, episodic return=500.0
global step=29012, episodic return=291.0
global step=29012, episodic return=366.0
global step=29252, episodic return=383.0
global step=29316, episodic return=500.0
global step=29576, episodic return=141.0
global step=30556, episodic return=310.0
global step=31012, episodic return=500.0
global step=31252, episodic return=500.0
global step=31576, episodic return=500.0
global step=32108, episodic return=133.0
global step=32272, episodic return=255.0
global step=32304, episodic return=323.0
global step=32556, episodic return=500.0
global step=33020, episodic return=228.0
global step=33136, episodic return=208.0
global step=33268, episodic return=249.0
global step=33592, episodic return=259.0
global step=34384, episodic return=198.0
global step=34640, episodic return=343.0
global step=34704, episodic return=392.0
global step=34912, episodic return=473.0
global step=35224, episodic return=146.0
global step=35740, episodic return=207.0
global step=36384, episodic return=500.0
global step=36424, episodic return=430.0
global step=36976, episodic return=438.0
global step=36984, episodic return=150.0
global step=37064, episodic return=331.0
global step=37684, episodic return=315.0
global step=37804, episodic return=205.0
global step=38312, episodic return=312.0
global step=38436, episodic return=365.0
global step=38584, episodic return=225.0
global step=39360, episodic return=262.0
global step=39468, episodic return=258.0
global step=39804, episodic return=500.0
global step=40100, episodic return=379.0
global step=40332, episodic return=243.0
global step=40776, episodic return=243.0
global step=40828, episodic return=182.0
